"CODE","CLASS","Freq","FAMILY","%Tot","%AG"
1,"Corn",379294242,"POACEAE",4.3825,27.9044
2,"Cotton",40945287,"MALVACEAE",0.4731,3.01231
3,"Rice",14260056,"POACEAE",0.1648,1.0491
4,"Sorghum",31394122,"POACEAE",0.3627,2.30964
5,"Soybeans",335225754,"FABACEAE",3.8733,24.66231
6,"Sunflower",7362670,"ASTERACEAE",0.0851,0.54167
10,"Peanuts",5823298,"FABACEAE",0.0673,0.42842
11,"Tobacco",237556,"SOLANACEAE",0.0027,0.01748
12,"Sweet Corn",1566019,"POACEAE",0.0181,0.11521
13,"Pop or Orn Corn",534638,"POACEAE",0.0062,0.03933
14,"Mint",110883,"LAMIACEAE",0.0013,0.00816
21,"Barley",11501427,"POACEAE",0.1329,0.84615
22,"Durum Wheat",10225051,"POACEAE",0.1181,0.75225
23,"Spring Wheat",62298083,"POACEAE",0.7198,4.58322
24,"Winter Wheat",176086751,"POACEAE",2.0346,12.95457
25,"Other Small Grains",18679,"POACEAE",2e-04,0.00137
26,"Dbl Crop WinWht/Soybeans",19292956,"DOUBLE-CROP",0.2229,1.41937
27,"Rye",1632761,"POACEAE",0.0189,0.12012
28,"Oats",6967536,"POACEAE",0.0805,0.5126
29,"Millet",2120771,"POACEAE",0.0245,0.15602
30,"Speltz",26690,"POACEAE",3e-04,0.00196
31,"Canola",3384181,"BRASSICACEAE",0.0391,0.24897
32,"Flaxseed",1124731,"LINACEAE",0.013,0.08275
33,"Safflower",806878,"ASTERACEAE",0.0093,0.05936
34,"Rape Seed",2829,"BRASSICACEAE",0,0.00021
35,"Mustard",122995,"BRASSICACEAE",0.0014,0.00905
36,"Alfalfa",77490539,"FABACEAE",0.8954,5.70092
37,"Other Hay/Non Alfalfa",99547499,"UNDEFINED",1.1502,7.32364
38,"Camelina",82005,"BRASSICACEAE",9e-04,0.00603
39,"Buckwheat",56331,"POLYGONACEAE",7e-04,0.00414
41,"Sugarbeets",4983073,"AMARANTHACEAE",0.0576,0.3666
42,"Dry Beans",6860692,"FABACEAE",0.0793,0.50474
43,"Potatoes",4516292,"SOLANACEAE",0.0522,0.33226
44,"Other Crops",532333,"UNDEFINED",0.0062,0.03916
45,"Sugarcane",4289301,"POACEAE",0.0496,0.31556
46,"Sweet Potatoes",286066,"CONVOLVULACEAE",0.0033,0.02105
47,"Misc Vegs & Fruits",188468,"UNDEFINED",0.0022,0.01387
48,"Watermelons",231690,"CUCURBITACEAE",0.0027,0.01705
49,"Onions",663475,"AMARYLLIDACEAE",0.0077,0.04881
50,"Cucumbers",230929,"CUCURBITACEAE",0.0027,0.01699
51,"Chick Peas",635,"FABACEAE",0,5e-05
52,"Lentils",1735552,"FABACEAE",0.0201,0.12768
53,"Peas",4730314,"FABACEAE",0.0547,0.34801
54,"Tomatoes",1185086,"SOLANACEAE",0.0137,0.08719
