"CODE","CLASS","Freq","FAMILY","%TOT","%AG"
1,"Corn",391484089,"POACEAE",4.5233,27.4691
2,"Cotton",41719417,"MALVACEAE",0.482,2.92731
3,"Rice",11600156,"POACEAE",0.134,0.81394
4,"Sorghum",40409872,"POACEAE",0.4669,2.83542
5,"Soybeans",362003278,"FABACEAE",4.1827,25.40053
6,"Sunflower",7406884,"ASTERACEAE",0.0856,0.51972
10,"Peanuts",6110686,"FABACEAE",0.0706,0.42877
11,"Tobacco",635873,"SOLANACEAE",0.0073,0.04462
12,"Sweet Corn",1396637,"POACEAE",0.0161,0.098
13,"Pop or Orn Corn",685406,"POACEAE",0.0079,0.04809
14,"Mint",45690,"LAMIACEAE",5e-04,0.00321
21,"Barley",13511954,"POACEAE",0.1561,0.94809
22,"Durum Wheat",7726972,"POACEAE",0.0893,0.54218
23,"Spring Wheat",63011876,"POACEAE",0.7281,4.42133
24,"Winter Wheat",160636865,"POACEAE",1.8561,11.27134
25,"Other Small Grains",52103,"POACEAE",6e-04,0.00366
26,"Dbl Crop WinWht/Soybeans",18758399,"DOUBLE-CROP",0.2167,1.31621
27,"Rye",2507563,"POACEAE",0.029,0.17595
28,"Oats",7941353,"POACEAE",0.0918,0.55722
29,"Millet",2804098,"POACEAE",0.0324,0.19675
30,"Speltz",27878,"POACEAE",3e-04,0.00196
31,"Canola",7126746,"BRASSICACEAE",0.0823,0.50006
32,"Flaxseed",1703494,"LINACEAE",0.0197,0.11953
33,"Safflower",716167,"ASTERACEAE",0.0083,0.05025
34,"Rape Seed",5572,"BRASSICACEAE",1e-04,0.00039
35,"Mustard",120388,"BRASSICACEAE",0.0014,0.00845
36,"Alfalfa",86058965,"FABACEAE",0.9944,6.03846
37,"Other Hay/Non Alfalfa",114854607,"UNDEFINED",1.3271,8.05895
38,"Camelina",12618,"BRASSICACEAE",1e-04,0.00089
39,"Buckwheat",73469,"POLYGONACEAE",8e-04,0.00516
41,"Sugarbeets",5075289,"AMARANTHACEAE",0.0586,0.35612
42,"Dry Beans",8261573,"FABACEAE",0.0955,0.57969
43,"Potatoes",4383367,"SOLANACEAE",0.0506,0.30757
44,"Other Crops",264818,"UNDEFINED",0.0031,0.01858
45,"Sugarcane",4386544,"POACEAE",0.0507,0.30779
46,"Sweet Potatoes",389862,"CONVOLVULACEAE",0.0045,0.02736
47,"Misc Vegs & Fruits",199081,"UNDEFINED",0.0023,0.01397
48,"Watermelons",199788,"CUCURBITACEAE",0.0023,0.01402
49,"Onions",601808,"AMARYLLIDACEAE",0.007,0.04223
50,"Cucumbers",182059,"CUCURBITACEAE",0.0021,0.01277
52,"Lentils",2004520,"FABACEAE",0.0232,0.14065
53,"Peas",6193973,"FABACEAE",0.0716,0.43461
54,"Tomatoes",1581885,"SOLANACEAE",0.0183,0.111
55,"Caneberries",18731,"ROSACEAE",2e-04,0.00131
56,"Hops",182053,"CANNABACEAE",0.0021,0.01277
57,"Herbs",692910,"UNDEFINED",0.008,0.04862
58,"Clover/Wildflowers",703415,"UNDEFINED",0.0081,0.04936
59,"Sod/Grass Seed",4610173,"POACEAE",0.0533,0.32348
60,"Switchgrass",19200,"POACEAE",2e-04,0.00135
61,"Fallow/Idle Cropland",131712960,"NON-AG",1.5219,0
66,"Cherries",678861,"ROSACEAE",0.0078,0.04763
67,"Peaches",199697,"ROSACEAE",0.0023,0.01401
68,"Apples",1897034,"ROSACEAE",0.0219,0.13311
69,"Grapes",5214662,"VITACEAE",0.0603,0.36589
70,"Christmas Trees",394805,"PINACEAE",0.0046,0.0277
71,"Other Tree Crops",419815,"UNDEFINED",0.0049,0.02946
72,"Citrus",692985,"RUTACEAE",0.008,0.04862
74,"Pecans",1814741,"JUGLANDACEAE",0.021,0.12733
75,"Almonds",6100085,"ROSACEAE",0.0705,0.42802
76,"Walnuts",1904282,"JUGLANDACEAE",0.022,0.13362
77,"Pears",171323,"ROSACEAE",0.002,0.01202
92,"Aquaculture",863385,"NON-AG",0.01,0
111,"Open Water",155374923,"NON-AG",1.7953,0
112,"Perennial Ice/Snow",1497896,"NON-AG",0.0173,0
121,"Developed/Open Space",286976262,"NON-AG",3.3158,0
122,"Developed/Low Intensity",129412674,"NON-AG",1.4953,0
123,"Developed/Med Intensity",60303223,"NON-AG",0.6968,0
124,"Developed/High Intensity",20403070,"NON-AG",0.2357,0
131,"Barren",98416638,"NON-AG",1.1371,0
141,"Deciduous Forest",1099119647,"NON-AG",12.6996,0
142,"Evergreen Forest",1086517694,"NON-AG",12.554,0
143,"Mixed Forest",130006382,"NON-AG",1.5021,0
152,"Shrubland",2100098506,"NON-AG",24.2652,0
176,"Grass/Pasture",1474278542,"NON-AG",17.0343,0
190,"Woody Wetlands",350507325,"NON-AG",4.0499,0
195,"Herbaceous Wetlands",104089176,"NON-AG",1.2027,0
204,"Pistachios",1071557,"ANACARDIACEAE",0.0124,0.07519
205,"Triticale",1377935,"POACEAE",0.0159,0.09668
206,"Carrots",229696,"APIACEAE",0.0027,0.01612
207,"Asparagus",17505,"ASPARAGACEAE",2e-04,0.00123
208,"Garlic",89293,"AMARYLLIDACEAE",0.001,0.00627
209,"Cantaloupes",95923,"CUCURBITACEAE",0.0011,0.00673
211,"Olives",141603,"OLEACEAE",0.0016,0.00994
212,"Oranges",4978303,"RUTACEAE",0.0575,0.34931
213,"Honeydew Melons",25702,"CUCURBITACEAE",3e-04,0.0018
214,"Broccoli",55835,"BRASSICACEAE",6e-04,0.00392
216,"Peppers",83766,"SOLANACEAE",0.001,0.00588
217,"Pomegranates",82528,"PRUNICACEAE",0.001,0.00579
218,"Nectarines",9065,"ROSACEAE",1e-04,0.00064
219,"Greens",106470,"UNDEFINED",0.0012,0.00747
220,"Plums",112313,"ROSACEAE",0.0013,0.00788
221,"Strawberries",192847,"ROSACEAE",0.0022,0.01353
222,"Squash",88716,"CUCURBITACEAE",0.001,0.00622
223,"Apricots",754,"ROSACEAE",0,5e-05
224,"Vetch",8199,"FABACEAE",1e-04,0.00058
225,"Dbl Crop WinWht/Corn",1366444,"DOUBLE-CROP",0.0158,0.09588
226,"Dbl Crop Oats/Corn",409809,"DOUBLE-CROP",0.0047,0.02875
227,"Lettuce",187437,"ASTERACEAE",0.0022,0.01315
229,"Pumpkins",108341,"CUCURBITACEAE",0.0013,0.0076
