"CODE","CLASS","Freq","FAMILY","%TOT","%AG"
1,"Corn",389434796,"POACEAE",4.4997,27.23644
2,"Cotton",51014393,"MALVACEAE",0.5894,3.56786
3,"Rice",13342816,"POACEAE",0.1542,0.93317
4,"Sorghum",28611426,"POACEAE",0.3306,2.00104
5,"Soybeans",350775244,"FABACEAE",4.053,24.53265
6,"Sunflower",5977989,"ASTERACEAE",0.0691,0.41809
10,"Peanuts",6749035,"FABACEAE",0.078,0.47202
11,"Tobacco",632836,"SOLANACEAE",0.0073,0.04426
12,"Sweet Corn",1431216,"POACEAE",0.0165,0.1001
13,"Pop or Orn Corn",896079,"POACEAE",0.0104,0.06267
14,"Mint",63043,"LAMIACEAE",7e-04,0.00441
21,"Barley",10800069,"POACEAE",0.1248,0.75534
22,"Durum Wheat",5902415,"POACEAE",0.0682,0.41281
23,"Spring Wheat",60959560,"POACEAE",0.7043,4.26341
24,"Winter Wheat",153038848,"POACEAE",1.7683,10.70329
25,"Other Small Grains",57141,"POACEAE",7e-04,0.004
26,"Dbl Crop WinWht/Soybeans",23313577,"DOUBLE-CROP",0.2694,1.63051
27,"Rye",2694620,"POACEAE",0.0311,0.18846
28,"Oats",6603034,"POACEAE",0.0763,0.46181
29,"Millet",2607647,"POACEAE",0.0301,0.18237
30,"Speltz",23990,"POACEAE",3e-04,0.00168
31,"Canola",7258842,"BRASSICACEAE",0.0839,0.50767
32,"Flaxseed",1130237,"LINACEAE",0.0131,0.07905
33,"Safflower",676285,"ASTERACEAE",0.0078,0.0473
34,"Rape Seed",18757,"BRASSICACEAE",2e-04,0.00131
35,"Mustard",98764,"BRASSICACEAE",0.0011,0.00691
36,"Alfalfa",83864336,"FABACEAE",0.969,5.86534
37,"Other Hay/Non Alfalfa",146198156,"UNDEFINED",1.6892,10.22486
38,"Camelina",12631,"BRASSICACEAE",1e-04,0.00088
39,"Buckwheat",61111,"POLYGONACEAE",7e-04,0.00427
41,"Sugarbeets",5008759,"AMARANTHACEAE",0.0579,0.3503
42,"Dry Beans",8266451,"FABACEAE",0.0955,0.57814
43,"Potatoes",4586196,"SOLANACEAE",0.053,0.32075
44,"Other Crops",701992,"UNDEFINED",0.0081,0.0491
45,"Sugarcane",4336067,"POACEAE",0.0501,0.30326
46,"Sweet Potatoes",324800,"CONVOLVULACEAE",0.0038,0.02272
47,"Misc Vegs & Fruits",207055,"UNDEFINED",0.0024,0.01448
48,"Watermelons",193498,"CUCURBITACEAE",0.0022,0.01353
49,"Onions",649649,"AMARYLLIDACEAE",0.0075,0.04544
50,"Cucumbers",135090,"CUCURBITACEAE",0.0016,0.00945
52,"Lentils",1127023,"FABACEAE",0.013,0.07882
53,"Peas",5043729,"FABACEAE",0.0583,0.35275
54,"Tomatoes",1618729,"SOLANACEAE",0.0187,0.11321
55,"Caneberries",110572,"ROSACEAE",0.0013,0.00773
56,"Hops",166868,"CANNABACEAE",0.0019,0.01167
57,"Herbs",585841,"UNDEFINED",0.0068,0.04097
58,"Clover/Wildflowers",751240,"UNDEFINED",0.0087,0.05254
59,"Sod/Grass Seed",3690560,"POACEAE",0.0426,0.25811
60,"Switchgrass",81314,"POACEAE",9e-04,0.00569
61,"Fallow/Idle Cropland",105646805,"NON-AG",1.2207,0
66,"Cherries",854134,"ROSACEAE",0.0099,0.05974
67,"Peaches",215048,"ROSACEAE",0.0025,0.01504
68,"Apples",1683465,"ROSACEAE",0.0195,0.11774
69,"Grapes",5913256,"VITACEAE",0.0683,0.41356
70,"Christmas Trees",242321,"PINACEAE",0.0028,0.01695
71,"Other Tree Crops",395103,"UNDEFINED",0.0046,0.02763
72,"Citrus",907581,"RUTACEAE",0.0105,0.06347
74,"Pecans",1969464,"JUGLANDACEAE",0.0228,0.13774
75,"Almonds",5207729,"ROSACEAE",0.0602,0.36422
76,"Walnuts",1803652,"JUGLANDACEAE",0.0208,0.12614
77,"Pears",133170,"ROSACEAE",0.0015,0.00931
92,"Aquaculture",882582,"NON-AG",0.0102,0
111,"Open Water",153397230,"NON-AG",1.7724,0
112,"Perennial Ice/Snow",1489433,"NON-AG",0.0172,0
121,"Developed/Open Space",285241042,"NON-AG",3.2958,0
122,"Developed/Low Intensity",129241310,"NON-AG",1.4933,0
123,"Developed/Med Intensity",60307830,"NON-AG",0.6968,0
124,"Developed/High Intensity",20491477,"NON-AG",0.2368,0
131,"Barren",92798654,"NON-AG",1.0722,0
141,"Deciduous Forest",1058574086,"NON-AG",12.2311,0
142,"Evergreen Forest",1075801344,"NON-AG",12.4302,0
143,"Mixed Forest",130043027,"NON-AG",1.5026,0
152,"Shrubland",1936327197,"NON-AG",22.373,0
176,"Grass/Pasture",1730243765,"NON-AG",19.9918,0
190,"Woody Wetlands",344868390,"NON-AG",3.9847,0
195,"Herbaceous Wetlands",99573858,"NON-AG",1.1505,0
204,"Pistachios",990309,"ANACARDIACEAE",0.0114,0.06926
205,"Triticale",1262047,"POACEAE",0.0146,0.08827
206,"Carrots",224039,"APIACEAE",0.0026,0.01567
207,"Asparagus",74587,"ASPARAGACEAE",9e-04,0.00522
208,"Garlic",88977,"AMARYLLIDACEAE",0.001,0.00622
209,"Cantaloupes",84861,"CUCURBITACEAE",0.001,0.00594
211,"Olives",176941,"OLEACEAE",0.002,0.01237
