"CODE","CLASS","Freq","FAMILY","%TOT","%AG"
1,"Corn",418476688,"POACEAE",4.8352,30.23896
2,"Cotton",47568081,"MALVACEAE",0.5496,3.43725
3,"Rice",11039727,"POACEAE",0.1276,0.79773
4,"Sorghum",32740051,"POACEAE",0.3783,2.36578
5,"Soybeans",315383532,"FABACEAE",3.644,22.78949
6,"Sunflower",5663476,"ASTERACEAE",0.0654,0.40924
10,"Peanuts",4674787,"FABACEAE",0.054,0.3378
11,"Tobacco",538969,"SOLANACEAE",0.0062,0.03895
12,"Sweet Corn",1364893,"POACEAE",0.0158,0.09863
13,"Pop or Orn Corn",771561,"POACEAE",0.0089,0.05575
14,"Mint",54057,"LAMIACEAE",6e-04,0.00391
21,"Barley",12195598,"POACEAE",0.1409,0.88125
22,"Durum Wheat",5631882,"POACEAE",0.0651,0.40696
23,"Spring Wheat",53925278,"POACEAE",0.6231,3.89662
24,"Winter Wheat",155289090,"POACEAE",1.7943,11.22113
25,"Other Small Grains",31302,"POACEAE",4e-04,0.00226
26,"Dbl Crop WinWht/Soybeans",28284806,"DOUBLE-CROP",0.3268,2.04385
27,"Rye",2233892,"POACEAE",0.0258,0.16142
28,"Oats",5838126,"POACEAE",0.0675,0.42186
29,"Millet",3249209,"POACEAE",0.0375,0.23479
30,"Speltz",15017,"POACEAE",2e-04,0.00109
31,"Canola",5681622,"BRASSICACEAE",0.0656,0.41055
32,"Flaxseed",571432,"LINACEAE",0.0066,0.04129
33,"Safflower",612374,"ASTERACEAE",0.0071,0.04425
34,"Rape Seed",10627,"BRASSICACEAE",1e-04,0.00077
35,"Mustard",131418,"BRASSICACEAE",0.0015,0.0095
36,"Alfalfa",68365140,"FABACEAE",0.7899,4.94004
37,"Other Hay/Non Alfalfa",130456915,"UNDEFINED",1.5073,9.42676
38,"Camelina",14944,"BRASSICACEAE",2e-04,0.00108
39,"Buckwheat",41224,"POLYGONACEAE",5e-04,0.00298
41,"Sugarbeets",5259206,"AMARANTHACEAE",0.0608,0.38003
42,"Dry Beans",5838968,"FABACEAE",0.0675,0.42192
